HSHD_NUM,HH_KEY,ACCOUNT_KEY,HEAD_OF_HH,CITY,STATE,ZIP_CODE,AGE_RANGE
1291,73199437,159110869,N,LOUISVILLE,KY,40272,NOT AVAILABLE
4668,74227716,159110312,N,CINCINNATI,OH,45227,45-54
3296,17827288,159110927,N,LOUISVILLE,KY,40214.0,45-54
665,262013,159113354,N,WESTERVILLE,OH,43081,55-64
2718,14808682,159113619,N,OREGON,OH,43616,75+
1345,76862473,159113679,N,TOLEDO,OH,43613,45-54
1878,17241990,159113370,N,COLUMBUS,OH,43232,NOT AVAILABLE
2443,76379814,159113851,N,SPRINGFIELD,TN,37172,25-34
3464,7439313,159114090,N,HEBRON,KY,41048,35-44
2704,73341533,159113988,N,BRENTWOOD,TN,37027,65-74
1340,80242304,159115162,N,MARIETTA,GA,30062,45-54
3487,76742530,159115454,N,DUNBAR,WV,25064,55-64
4851,18704454,159116890,N,WILMINGTON,OH,45177,NOT AVAILABLE
4119,16474817,159116995,N,WILMINGTON,OH,45177,55-64
1089,4604578,159117122,N,LEBANON,IN,46052,65-74
4695,5644715,159117360,N,LAWRENCEBURG,IN,47025,NOT AVAILABLE
3155,73580166,159117819,N,CENTERVILLE,OH,45458,45-54
4244,77877170,159117925,N,DAYTON,OH,45449,35-44
3023,71874435,159117942,N,MIAMISBURG,OH,45342.0,NOT AVAILABLE
542,8301704,159108518,N,GREENWOOD,IN,46143,65-74
1313,2328921,159108926,N,ERLANGER,KY,41018,45-54
4149,18290305,159108576,N,COVINGTON,KY,41011,NOT AVAILABLE
3658,77084520,159108616,N,GOSHEN,KY,40026,75+
2925,70136416,159108629,N,CINCINNATI,OH,45230,45-54
3611,8091769,159109252,N,CINCINNATI,OH,45208,55-64
3467,17994047,159109550,N,BLACKLICK,OH,43004,75+
3775,3407990,159109296,N,KIMBALL,MI,48074,55-64
767,5467902,159109578,N,WEST CHESTER,OH,45069,75+
3591,75658751,159109562,N,DELAWARE,OH,43015,NOT AVAILABLE
1127,77217495,159109697,N,MARIETTA,GA,30066,45-54
3693,73372102,159134335,N,CINCINNATI,OH,45244,45-54
145,2841065,159134364,N,CINCINNATI,OH,45246,55-64
853,1511472,159134949,N,LOUISVILLE,KY,40213,55-64
3176,18763005,159134503,N,CINCINNATI,OH,45224,55-64
752,5832812,159134948,N,LOUISVILLE,KY,40222,NOT AVAILABLE
310,70524292,159136759,N,COLUMBUS,OH,43204,65-74
4725,303626,159136848,N,COLUMBUS,OH,43207,NOT AVAILABLE
4003,9242476,159136928,N,COLUMBUS,OH,43223,45-54
276,7142786,159137482,N,LEXINGTON,KY,40515,45-54
2311,17808540,159137078,N,TOLEDO,OH,43612,45-54
2493,16301262,159137184,N,SYLVANIA,OH,43560,55-64
4900,74176035,159137439,N,NASHVILLE,TN,37211,NOT AVAILABLE
2765,76047683,159138459,N,CUMMING,GA,30040,55-64
222,72034351,159138488,N,LOGANVILLE,GA,30052,55-64
1133,76250169,159138921,N,BELLEVUE,KY,41073,55-64
2094,15894462,159138983,N,CINCINNATI,OH,45244.0,35-44
172,80250861,159139219,N,FRASER,MI,48026,45-54
2219,15958510,159139365,N,TAYLOR,MI,48180,45-54
2220,74796436,159139948,N,NOBLESVILLE,IN,46060,35-44
1524,18362770,159140538,N,PIQUA,OH,45356,65-74
2908,80254393,159139851,N,SOUTH CHARLESTON,WV,25309,35-44
3182,14804612,159140006,N,LIZTON,IN,46149,25-34
1530,1984070,159140422,N,MOUNT VERNON,IL,62864,55-64
1584,6291133,159134077,N,COLUMBUS,OH,43214,45-54
3995,16254034,159133720,N,TIPP CITY,OH,45371,NOT AVAILABLE
908,74643777,159134087,N,MAINEVILLE,OH,45039,45-54
1372,16179200,159133987,N,GEORGETOWN,KY,40324,75+
1222,74497831,159133802,N,LOUISVILLE,TN,37777,45-54
240,558527,159133827,N,CINCINNATI,OH,45237.0,65-74
1553,7074812,159134088,N,INDIANAPOLIS,IN,46227,NOT AVAILABLE
4492,6219719,159155661,N,MONROE,OH,45050,35-44
3086,76143176,159155683,N,MAINEVILLE,OH,45039,45-54
1715,74538400,159156085,N,FRANKFORT,KY,40601,NOT AVAILABLE
242,6858777,159156126,N,LOUISVILLE,KY,40212,45-54
1129,753500,159155612,N,CINCINNATI,OH,45239,55-64
857,127497,159156125,N,LOUISVILLE,KY,40223,45-54
2663,77220694,159157034,N,ELKHART,IN,46516,55-64
4240,76682342,159158129,N,NASHVILLE,TN,37218,45-54
2090,77326165,159157816,N,COLUMBUS,OH,43220,NOT AVAILABLE
2509,78739751,159159147,N,MARIETTA,GA,30060,65-74
1653,4525097,159160618,N,KOKOMO,IN,46901,35-44
2280,17828612,159155147,N,LEXINGTON,KY,40509,NOT AVAILABLE
2388,5897437,159155308,N,LEXINGTON,KY,40515,65-74
2499,16872363,159155406,N,GREEN SPRINGS,OH,44836,NOT AVAILABLE
4874,186899,159154940,N,NEWPORT,KY,41071,75+
3729,75789327,159155395,N,DAVISON,MI,48423.0,25-34
3810,545366,159155034,N,CLEVES,OH,45002,35-44
4070,80234206,159155040,N,NICHOLASVILLE,KY,40356,55-64
1730,78384802,159176421,N,MILFORD,OH,45150,45-54
1352,80180826,159176641,N,MIDDLETOWN,OH,45044,NOT AVAILABLE
2447,76423130,159176824,N,MILFORD,OH,45150,65-74
4745,80384651,159176941,N,LOUISVILLE,KY,40218,35-44
4228,75112627,159178574,N,COLUMBUS,OH,43232,45-54
4184,77657744,159178941,N,ANTIOCH,TN,37013,35-44
2907,76046561,159179910,N,GAINESVILLE,GA,30507,45-54
3019,77342874,159181244,N,LEBANON,IN,46052,45-54
3747,80249033,159175361,N,HENDERSONVILLE,TN,37075,55-64
1329,5997651,159175507,N,COLUMBUS,OH,43207,35-44
1304,75594729,159175549,N,TOLEDO,OH,43614,65-74
3417,75441916,159175566,N,FENTON,MI,48430,55-64
415,643460,159176012,N,CINCINNATI,OH,45238,25-34
3705,6879504,159175460,N,CINCINNATI,OH,45231,55-64
1738,5153220,159176026,N,LAWRENCEBURG,IN,47025,45-54
4579,80094747,159199981,N,LOUISVILLE,KY,40229,35-44
1649,70519984,159201679,N,COLUMBUS,OH,43215.0,NOT AVAILABLE
3209,77830655,159205457,N,URBANA,OH,43078,35-44
